,target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
97,TransitionBlock,2019-04-16 06:27:00.078,2019-04-16 06:28:20.078,1.3333333333334352,,,['filter:G to R']
98,22,2019-04-16 07:35:20.080,2019-04-16 07:38:00.080,2.6666666666665506,148.021923,52.784169,{'filter': 'R'}
99,TransitionBlock,2019-04-16 07:38:00.080,2019-04-16 07:39:20.080,1.3333333333334352,,,['filter:R to G']
100,52,2019-04-16 07:40:00.081,2019-04-16 07:42:40.081,2.6666666666665506,77.700414,82.592523,{'filter': 'G'}
101,TransitionBlock,2019-04-16 07:42:40.081,2019-04-16 07:44:00.081,1.3333333333334352,,,['filter:G to R']
102,35,2019-04-16 07:45:00.081,2019-04-16 07:47:00.081,1.999999999999993,150.900646,64.453246,{'filter': 'R'}
103,TransitionBlock,2019-04-16 07:47:00.081,2019-04-16 07:49:00.081,1.999999999999993,,,[]
104,19,2019-04-16 07:53:00.081,2019-04-16 07:56:00.081,3.000000000000149,108.987254,-9.42627,{'filter': 'R'}
105,TransitionBlock,2019-04-16 07:56:00.081,2019-04-16 07:57:40.081,1.666666666666714,,,['filter:R to B']
106,49,2019-04-16 08:23:40.082,2019-04-16 08:26:40.082,3.000000000000149,165.257451,10.14758,{'filter': 'B'}
107,TransitionBlock,2019-04-16 08:26:40.082,2019-04-16 08:28:00.082,1.3333333333334352,,,[]
108,115,2019-04-16 08:49:00.083,2019-04-16 08:52:20.083,3.333333333333428,132.385502,53.713391,{'filter': 'B'}
109,TransitionBlock,2019-04-16 08:52:20.083,2019-04-16 08:54:00.083,1.666666666666714,,,['filter:B to G']
110,102,2019-04-16 09:40:00.085,2019-04-16 09:42:40.085,2.6666666666665506,231.248314,43.785826,{'filter': 'G'}
111,TransitionBlock,2019-04-16 09:42:40.085,2019-04-16 09:44:00.085,1.3333333333332753,,,['filter:G to R']
112,139,2019-04-16 09:46:00.085,2019-04-16 09:49:00.085,2.9999999999999893,258.184827,68.626295,{'filter': 'R'}
113,TransitionBlock,2019-04-16 09:49:00.085,2019-04-16 09:50:00.085,0.9999999999999964,,,['filter:R to B']
114,67,2019-04-16 09:58:00.086,2019-04-16 10:00:40.086,2.6666666666665506,166.933564,65.661608,{'filter': 'B'}
115,TransitionBlock,2019-04-16 10:00:40.086,2019-04-16 10:01:20.086,0.6666666666667176,,,['filter:B to G']
116,22,2019-04-16 10:18:40.086,2019-04-16 10:21:20.086,2.6666666666665506,148.021923,52.784169,{'filter': 'G'}
